구분,상품번호,상품명,마케팅 링크
스마트스토어,11843704872,우즈베키스탄 카자흐스탄 이심 eSIM 오렌지 15일 10GB e심,https://mkt.shopping.naver.com/link/68e86e5c772f4564fe843a54
스마트스토어,11830359591,아프리카 모로코 이집트 유심 오렌지 15일 10GB 튀니지 탄자니아 유심칩,https://mkt.shopping.naver.com/link/68e86e5c75ee9f3ae68963dd
스마트스토어,11830410180,아프리카 모로코 이집트 이심 eSIM 오렌지 15일 10GB 튀니지 탄자니아 e심,https://mkt.shopping.naver.com/link/68e86e5c5d8b481c3259c87f
스마트스토어,12310405784,싱가포르/말레이시아/태국 이심 eSIM 싱텔 5G 5일 매일 1GB 무제한 e심 핫스팟,https://mkt.shopping.naver.com/link/68e86e5b80d9a330e6514b94
스마트스토어,11923734467,유럽이심 eSIM 70개국 통합 영국 보다폰쓰리심 30일 6GB 동유럽 e심,https://mkt.shopping.naver.com/link/68e86e5b772f4564fe843a53
스마트스토어,11975133882,괌이심 로타 티니안 사이판 eSIM 도코모퍼시픽 1일 1GB 무제한 e심,https://mkt.shopping.naver.com/link/68e86e5b75ee9f3ae68963dc
스마트스토어,11843740662,러시아이심 eSIM 오렌지 15일 10GB e심,https://mkt.shopping.naver.com/link/68e86e5b5d8b481c3259c87e
스마트스토어,11847575167,발칸 동유럽이심 eSIM 오렌지 15일 10GB 몬테네그로 알바니아 벨라루스 9개국,https://mkt.shopping.naver.com/link/68e86e5b5d8b481c3259c87d
스마트스토어,11847436843,사우디 두바이 이심 eSIM 오렌지 15일 10GB 이집트 터키 요르단 중동 14개국,https://mkt.shopping.naver.com/link/686b68701a9ed979e2cbdea3
스마트스토어,6683264907,싱가포르유심 싱텔 5G 매일 1GB 무제한 3일 핫스팟,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51e
스마트스토어,7445605267,유럽유심 오렌지 5G 10일 10GB 프랑스 독일 동유럽 영국 유심칩,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51d
스마트스토어,8231179790,미국이심 eSIM 하와이 뉴욕 티모바일 5G 데이터 통화 무제한 1일 e심,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51b
스마트스토어,8783628348,미국유심 티모바일 5G 데이터 통화 문자 무제한 2개월 장기체류용 유심칩,https://mkt.shopping.naver.com/link/681b14a1fd7d167e0feaa51a
스마트스토어,429588316,태국유심 치앙마이 푸켓 방콕 TRUE 감속없는 5G 무제한 7일 유심칩,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c5c
스마트스토어,2172109605,일본유심 5G 후쿠오카 도쿄 오사카 KDDI 1일 1GB 무제한 유심칩구매,https://mkt.shopping.naver.com/link/681b14a1efd7a65d55475c5b
